Date and Time Stamp,Tag,% Open
3/24/2017 7:53,Filter 6 dsh valve postion,-0.045
3/24/2017 8:08,Filter 6 dsh valve postion,-0.015
3/24/2017 8:23,Filter 6 dsh valve postion,-0.04
3/24/2017 8:38,Filter 6 dsh valve postion,-0.025
3/24/2017 8:53,Filter 6 dsh valve postion,-0.025
3/24/2017 9:08,Filter 6 dsh valve postion,-0.04
3/24/2017 9:23,Filter 6 dsh valve postion,-0.01
3/24/2017 9:38,Filter 6 dsh valve postion,-0.02
3/24/2017 9:53,Filter 6 dsh valve postion,-0.015
3/24/2017 10:08,Filter 6 dsh valve postion,-0.025
3/24/2017 10:23,Filter 6 dsh valve postion,-0.04
3/24/2017 10:38,Filter 6 dsh valve postion,-0.025
3/24/2017 10:53,Filter 6 dsh valve postion,-0.035
3/24/2017 11:08,Filter 6 dsh valve postion,-0.015
3/24/2017 11:23,Filter 6 dsh valve postion,-0.035
3/24/2017 11:38,Filter 6 dsh valve postion,-0.015
3/24/2017 11:53,Filter 6 dsh valve postion,66.185
3/24/2017 12:08,Filter 6 dsh valve postion,-0.02
3/24/2017 12:23,Filter 6 dsh valve postion,-0.04
3/24/2017 12:38,Filter 6 dsh valve postion,-0.035
3/24/2017 12:53,Filter 6 dsh valve postion,-0.03
3/24/2017 13:08,Filter 6 dsh valve postion,-0.03
3/24/2017 13:23,Filter 6 dsh valve postion,-0.05
3/24/2017 13:38,Filter 6 dsh valve postion,-0.045
3/24/2017 13:53,Filter 6 dsh valve postion,-0.045
3/24/2017 14:08,Filter 6 dsh valve postion,41.34
3/24/2017 14:23,Filter 6 dsh valve postion,-0.025
3/24/2017 14:38,Filter 6 dsh valve postion,-0.035
3/24/2017 14:53,Filter 6 dsh valve postion,-0.03
3/24/2017 15:08,Filter 6 dsh valve postion,-0.035
3/24/2017 15:23,Filter 6 dsh valve postion,-0.035
3/24/2017 15:38,Filter 6 dsh valve postion,-0.015
3/24/2017 15:53,Filter 6 dsh valve postion,-0.025
3/24/2017 16:08,Filter 6 dsh valve postion,-0.015
3/24/2017 16:23,Filter 6 dsh valve postion,-0.01
3/24/2017 16:38,Filter 6 dsh valve postion,-0.025
3/24/2017 16:53,Filter 6 dsh valve postion,-0.01
3/24/2017 17:08,Filter 6 dsh valve postion,-0.01
3/24/2017 17:23,Filter 6 dsh valve postion,-0.02
3/24/2017 17:38,Filter 6 dsh valve postion,-0.02
3/24/2017 17:53,Filter 6 dsh valve postion,-0.01
3/24/2017 18:08,Filter 6 dsh valve postion,-0.015
3/24/2017 18:23,Filter 6 dsh valve postion,-0.01
3/24/2017 18:38,Filter 6 dsh valve postion,-0.005
3/24/2017 18:53,Filter 6 dsh valve postion,-0.035
3/24/2017 19:08,Filter 6 dsh valve postion,-0.045
3/24/2017 19:23,Filter 6 dsh valve postion,-0.01
